output_prefix	name	motif_id	cluster	total_tfbs	IF_mean_score	IF_bound	UF_mean_score	UF_bound	IF_UF_change	IF_UF_pvalue	IF_UF_highlighted
Arnt_MA0004.1	Arnt	MA0004.1	C_Mlxip	8289	0.05287	169	0.0422	135	-0.00251	7.52143E-01	False
PAX6_MA0069.1	PAX6	MA0069.1	C_PAX6	4694	0.06835	120	0.05653	101	0.06621	1.04124E-27	False
RORA_MA0071.1	RORA	MA0071.1	C_RORA	9922	0.11947	345	0.09891	316	0.00847	9.32745E-02	False
RXRAVDR_MA0074.1	RXRA::VDR	MA0074.1	C_RXRA::VDR	5859	0.08441	164	0.07529	145	0.00314	1.19446E-02	False
REL_MA0101.1	REL	MA0101.1	C_REL	7899	0.11234	359	0.10184	316	0.02351	9.70803E-12	False
RELA_MA0107.1	RELA	MA0107.1	C_REL	9766	0.08791	354	0.07641	297	0.04494	1.27857E-35	False
NR1H2RXRA_MA0115.1	NR1H2::RXRA	MA0115.1	C_NR1H2::RXRA	10071	0.24414	759	0.23457	721	-0.02177	3.38090E-20	False
Znf423_MA0116.1	Znf423	MA0116.1	C_Znf423	7457	0.73586	1372	0.71966	1317	-0.01942	1.89049E-23	False
NFICTLX1_MA0119.1	NFIC::TLX1	MA0119.1	C_NFIB	8466	0.1578	435	0.14666	394	-0.02193	1.40471E-14	False
ZNF354C_MA0130.1	ZNF354C	MA0130.1	C_ZNF354C	14563	0.12616	642	0.11181	543	0.0135	6.91706E-10	False
Pou5f1Sox2_MA0142.1	Pou5f1::Sox2	MA0142.1	C_Pou5f1::Sox2	13805	0.01433	78	0.01047	64	0.09177	4.85254E-32	True
EWSR1-FLI1_MA0149.1	EWSR1-FLI1	MA0149.1	C_EWSR1-FLI1	37967	0.18744	2571	0.17837	2395	4e-05	7.65308E-01	False
Arid3a_MA0151.1	Arid3a	MA0151.1	C_Arid3a	16655	0.12353	777	0.10886	646	0.01774	2.00594E-12	False
INSM1_MA0155.1	INSM1	MA0155.1	C_INSM1	12786	0.33684	1131	0.34406	1092	-0.03528	3.32023E-34	False
RARARXRA_MA0159.1	RARA::RXRA	MA0159.1	C_RARA::RXRA	10172	0.11041	425	0.0969	363	0.01949	1.01629E-10	False
PLAG1_MA0163.1	PLAG1	MA0163.1	C_PLAG1	15231	0.41913	1883	0.41628	1818	-0.03924	4.78423E-50	False
Tfcp2l1_MA0145.2	Tfcp2l1	MA0145.2	C_Tfcp2l1	11858	0.68424	1785	0.64379	1641	-0.00818	1.25951E-05	False
DUX4_MA0468.1	DUX4	MA0468.1	C_DUX4	7335	0.1611	428	0.16585	429	-0.03328	2.03898E-25	False
Sox6_MA0515.1	Sox6	MA0515.1	C_Sox6	17088	0.11052	655	0.09179	576	0.03337	7.06999E-30	False
ESR2_MA0258.2	ESR2	MA0258.2	C_ESR2	12328	0.05185	239	0.04577	221	-0.01696	3.99053E-09	False
