output_prefix,motif_id,motif_name,SEA_NOSEA_change,SEA_NOSEA_pvalue,SEA_NOSEA_highlighted,IF_UF_change,IF_UF_pvalue,IF_UF_highlighted,highlighted,quadrant,plot_group
Arnt_MA0004.1,MA0004.1,Arnt,0.10053,5.5403000000000006e-67,FALSE,-0.00251,0.752143,FALSE,FALSE,"Up in SEA, Down in IF",Not highlighted
PAX6_MA0069.1,MA0069.1,PAX6,-0.05883,1.43598e-33,FALSE,0.06621,1.0412399999999999e-27,FALSE,FALSE,"Up in IF, Down in SEA",Not highlighted
RORA_MA0071.1,MA0071.1,RORA,-0.03344,8.66112e-30,FALSE,0.00847,0.0932745,FALSE,FALSE,"Up in IF, Down in SEA",Not highlighted
RXRAVDR_MA0074.1,MA0074.1,RXRA::VDR,0.03546,4.57937e-28,FALSE,0.00314,0.0119446,FALSE,FALSE,High in Both,Not highlighted
REL_MA0101.1,MA0101.1,REL,0.05835,2.6263000000000002e-56,FALSE,0.02351,9.70803e-12,FALSE,FALSE,High in Both,Not highlighted
RELA_MA0107.1,MA0107.1,RELA,0.07139,1.01848e-58,FALSE,0.04494,1.27857e-35,FALSE,FALSE,High in Both,Not highlighted
NR1H2RXRA_MA0115.1,MA0115.1,NR1H2::RXRA,-0.03471,1.81676e-41,FALSE,-0.02177,3.3808999999999996e-20,FALSE,FALSE,Low in Both,Not highlighted
Znf423_MA0116.1,MA0116.1,Znf423,-0.05331,5.52094e-55,FALSE,-0.01942,1.89049e-23,FALSE,FALSE,Low in Both,Not highlighted
NFICTLX1_MA0119.1,MA0119.1,NFIC::TLX1,-0.01396,2.32743e-12,FALSE,-0.02193,1.40471e-14,FALSE,FALSE,Low in Both,Not highlighted
ZNF354C_MA0130.1,MA0130.1,ZNF354C,-0.00619,0.00516332,FALSE,0.0135,6.91706e-10,FALSE,FALSE,"Up in IF, Down in SEA",Not highlighted
Pou5f1Sox2_MA0142.1,MA0142.1,Pou5f1::Sox2,0.02233,4.98484e-10,FALSE,0.09177,4.8525399999999997e-32,TRUE,TRUE,High in Both,High in Both
EWSR1-FLI1_MA0149.1,MA0149.1,EWSR1-FLI1,0.0189,3.33672e-42,FALSE,4e-5,0.765308,FALSE,FALSE,High in Both,Not highlighted
Arid3a_MA0151.1,MA0151.1,Arid3a,-0.13949,1.27273e-112,TRUE,0.01774,2.00594e-12,FALSE,TRUE,"Up in IF, Down in SEA","Up in IF, Down in SEA"
INSM1_MA0155.1,MA0155.1,INSM1,-0.028,1.7530999999999998e-39,FALSE,-0.03528,3.3202299999999995e-34,FALSE,FALSE,Low in Both,Not highlighted
RARARXRA_MA0159.1,MA0159.1,RARA::RXRA,0.01316,2.43407e-13,FALSE,0.01949,1.01629e-10,FALSE,FALSE,High in Both,Not highlighted
PLAG1_MA0163.1,MA0163.1,PLAG1,-0.03347,1.1789600000000001e-55,FALSE,-0.03924,4.78423e-50,FALSE,FALSE,Low in Both,Not highlighted
