output_prefix	name	motif_id	cluster	total_tfbs	SEA_mean_score	SEA_bound	NOSEA_mean_score	NOSEA_bound	SEA_NOSEA_change	SEA_NOSEA_pvalue	SEA_NOSEA_highlighted
Arnt_MA0004.1	Arnt	MA0004.1	C_Mlxip	8289	0.07507	372	0.04581	238	0.10053	5.54030E-67	False
PAX6_MA0069.1	PAX6	MA0069.1	C_PAX6	4694	0.06558	189	0.05255	143	-0.05883	1.43598E-33	False
RORA_MA0071.1	RORA	MA0071.1	C_RORA	9922	0.11554	489	0.09186	404	-0.03344	8.66112E-30	False
RXRAVDR_MA0074.1	RXRA::VDR	MA0074.1	C_RXRA::VDR	5859	0.12784	355	0.09392	280	0.03546	4.57937E-28	False
REL_MA0101.1	REL	MA0101.1	C_REL	7899	0.15086	708	0.10641	489	0.05835	2.62630E-56	False
RELA_MA0107.1	RELA	MA0107.1	C_REL	9766	0.11808	699	0.08211	480	0.07139	1.01848E-58	False
NR1H2RXRA_MA0115.1	NR1H2::RXRA	MA0115.1	C_NR1H2::RXRA	10071	0.33327	1288	0.25517	1081	-0.03471	1.81676E-41	False
Znf423_MA0116.1	Znf423	MA0116.1	C_Znf423	7457	0.93677	1898	0.72838	1642	-0.05331	5.52094E-55	False
NFICTLX1_MA0119.1	NFIC::TLX1	MA0119.1	C_NFIB	8466	0.19486	746	0.14847	552	-0.01396	2.32743E-12	False
ZNF354C_MA0130.1	ZNF354C	MA0130.1	C_ZNF354C	14563	0.12876	968	0.10123	719	-0.00619	5.16332E-03	False
Pou5f1Sox2_MA0142.1	Pou5f1::Sox2	MA0142.1	C_Pou5f1::Sox2	13805	0.01735	116	0.01195	88	0.02233	4.98484E-10	False
EWSR1-FLI1_MA0149.1	EWSR1-FLI1	MA0149.1	C_EWSR1-FLI1	37967	0.26102	4960	0.19438	3853	0.0189	3.33672E-42	False
Arid3a_MA0151.1	Arid3a	MA0151.1	C_Arid3a	16655	0.11676	953	0.10373	874	-0.13949	1.27273E-112	True
INSM1_MA0155.1	INSM1	MA0155.1	C_INSM1	12786	0.4907	2008	0.38038	1648	-0.028	1.75310E-39	False
RARARXRA_MA0159.1	RARA::RXRA	MA0159.1	C_RARA::RXRA	10172	0.12482	687	0.09298	549	0.01316	2.43407E-13	False
PLAG1_MA0163.1	PLAG1	MA0163.1	C_PLAG1	15231	0.65973	3239	0.49979	2659	-0.03347	1.17896E-55	False
Tfcp2l1_MA0145.2	Tfcp2l1	MA0145.2	C_Tfcp2l1	11858	0.87084	2547	0.68416	2135	-0.03026	1.24015E-42	False
DUX4_MA0468.1	DUX4	MA0468.1	C_DUX4	7335	0.18586	626	0.14857	551	-0.03537	2.86030E-33	False
Sox6_MA0515.1	Sox6	MA0515.1	C_Sox6	17088	0.14072	1258	0.10668	988	-0.02595	1.62623E-31	False
ESR2_MA0258.2	ESR2	MA0258.2	C_ESR2	12328	0.07357	539	0.05386	393	0.04075	2.98308E-34	False
SREBF1_MA0595.1	SREBF1	MA0595.1	C_SREBF1	7354	0.07523	308	0.04776	191	0.06831	2.18478E-46	False
