dataset,sample_id,condition,sex,include,reason
female_infection,UF_REP1.mLb.clN,UF,F,TRUE,
female_infection,UF_REP2.mLb.clN,UF,F,TRUE,
female_infection,UF_REP3.mLb.clN,UF,F,TRUE,
female_infection,UF_REP4.mLb.clN,UF,F,TRUE,
female_infection,IF_REP1.mLb.clN,IF,F,TRUE,
female_infection,IF_REP2.mLb.clN,IF,F,TRUE,
female_infection,IF_REP3.mLb.clN,IF,F,FALSE,PCA and sample-correlation outlier
female_sea,NOSEA_REP1.mLb.clN,NOSEA,F,FALSE,PCA and sample-correlation outlier
female_sea,NOSEA_REP2.mLb.clN,NOSEA,F,TRUE,
female_sea,NOSEA_REP3.mLb.clN,NOSEA,F,TRUE,
female_sea,SEA_REP1.mLb.clN,SEA,F,TRUE,
female_sea,SEA_REP2.mLb.clN,SEA,F,TRUE,
female_sea,SEA_REP3.mLb.clN,SEA,F,FALSE,PCA and sample-correlation outlier
male_infection,U_REP1.mLb.clN,UF,M,FALSE,PCA and sample-correlation outlier
male_infection,UM_REP1.mLb.clN,UF,M,TRUE,
male_infection,UM_REP2.mLb.clN,UF,M,TRUE,
male_infection,I_REP1.mLb.clN,IF,M,TRUE,
male_infection,I_REP2.mLb.clN,IF,M,TRUE,
male_infection,I_REP3.mLb.clN,IF,M,TRUE,
