"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GeneRatioNumeric","minus_log10_padj"
"GO:0007264","small GTPase mediated signal transduction","86/2081","428/28564",4.87462465279223e-18,3.62867059153854e-14,2.70362076795392e-14,"Map4k4/Col3a1/Dock10/Bcr/Kitl/Dock2/Rasgef1c/Rap1gap2/Itga3/Ngfr/Baiap2/Pik3cg/Sipa1l1/Gpr65/Ccdc88c/Rapgef5/Rala/Elmo1/F2rl1/Ccdc125/Arhgef3/Nisch/Dennd3/Gpr20/Arhgap8/Celsr1/Robo1/Rab12/Rhoq/Rock1/Psd2/Spry4/Kank1/Plce1/Arhgap19/Arl3/Adrb1/Abl1/Garnl3/Mapkap1/Dab2ip/Dennd1a/Chn1/Src/Arfgef2/Dok5/Arfgap1/Rapgef2/Ntrk1/Iqgap3/Notch2/Rhoc/Bcar3/Ephb2/Pdpn/Plekhg5/Rasgef1b/Arhgap24/Ksr2/Adcyap1r1/Iqsec1/Rasgef1a/Eps8/Eps8l1/Apoe/Sipa1l3/Arhgap33/Arrb1/Nucb2/Lat/Arhgef18/Arhgef7/Mcf2l/Arhgef10/Nfix/Cdh13/Rhou/Rab4a/Sipa1l2/Nrp1/Dock6/Rgl3/Rasa2/Mras/P2ry10b/Chm",86,0.0413262854396925,13.4402524549933
"GO:0034329","cell junction assembly","91/2081","477/28564",1.72706578832703e-17,6.4281388641532e-14,4.78942612562901e-14,"Map4k4/Tns1/Lamc1/Dnm3/Ptprk/Bcr/Pmp22/Arhgef15/Asic2/Vmp1/Jup/Mapt/Prkca/Sdk2/Tbcd/Itgb1bp1/Sipa1l1/Ntrk2/Pik3r1/Dlg5/Nrg3/Mmp14/Farp1/Ctnnd2/Ptk2/Adgrb1/Shank3/Pkp2/Gsk3b/Mdga1/Ptprs/Nrxn1/Rock1/Ctnna1/Nrg2/Nedd4l/Sptbn2/Nrxn2/Flrt1/Grin1/Ntng2/Abl1/Src/Cdh22/Pard6b/Cdh26/Cdh4/Rapgef2/Ntrk1/S100a10/Rhoc/Pdlim5/Adgrl2/Adgrb2/Col16a1/Ephb2/Wnt4/Epha2/Fzd1/Magi2/Lgi2/Ptpn13/Coro1c/Tbx5/Ptpn11/Cux2/Micall2/Actb/Grid2/Wnt7a/Setd5/Lrtm2/Lrfn3/Gabrb3/Tjp1/Wnt11/Shank2/Adgre5/Adgrl1/Cacna1a/Cdh1/Cdh13/Nrp1/Vstm5/Kirrel3/Thy1/Nptn/Coro2b/Smad3/Bsn/Pdcd6ip",91,0.0437289764536281,13.1919147499417
"GO:0050803","regulation of synapse structure or activity","64/2081","313/28564",3.82119890989583e-14,7.4369249424958e-11,5.5410443623986e-11,"Ngef/Dnm3/Marcks/Camk2b/Arhgef15/Pafah1b1/Asic2/Prkca/Baiap2/Sipa1l1/Nedd9/Ror2/Ntrk2/Pik3r1/Dlg5/Slc18a3/Nfatc4/Farp1/Ywhaz/Ptk2/Adgrb1/Shank3/Lrrk2/Etv5/Kalrn/Gsk3b/Mdga1/Ptprs/Nrxn1/Rock1/Nrg2/Flrt1/Grin1/Ntng2/Abl1/Dab2ip/Tanc1/Ntrk1/Pdlim5/Adgrl2/Adgrb2/Ephb2/Fzd1/Magi2/Ptpn13/Sparcl1/Cux2/Grid2/Ctnna2/Dctn1/Wnt7a/Setd5/Lrtm2/Apoe/Lrfn3/Arhgap33/Slc17a6/Shank2/Adgre5/Adgrl1/Disc1/Vstm5/Cyp19a1/Snap91",64,0.0307544449783758,10.1286066016273
"GO:0043087","regulation of GTPase activity","69/2081","353/28564",3.99619824959473e-14,7.4369249424958e-11,5.5410443623986e-11,"Map4k4/Dock10/Ngef/Sh3bp4/Agap1/Plxna2/Bcr/Rasgef1c/Arhgef15/Rap1gap2/Pafah1b1/Sgsm2/Abr/Ccl11/Itgb1bp1/Sipa1l1/Gpr65/Rapgef5/Nedd9/Ntrk2/Rasa1/F2rl1/Ccdc125/Tbc1d4/Tbc1d22a/Sbf1/Lrrk2/Kalrn/Gsk3b/Tbc1d5/Adrb1/Garnl3/Dab2ip/Dennd1a/Chn1/Gnas/Rapgef2/Ntrk1/S100a10/Bcar3/Asap3/Wnt4/Epha2/Arhgef16/Tbc1d1/Rasgef1b/Arhgap24/Sgsm1/Coro1c/Adap1/Plxna4/Iqsec1/Rasgef1a/Trappc6a/Sipa1l3/Wnt11/Arrb1/Sbf2/Arhgef7/Arhgef10/Tbc1d9/Gnao1/Mtss2/Sipa1l2/Dock6/Rgl3/Thy1/Bbs4/Rasa2",69,0.0331571359923114,10.1286066016273
"GO:0007409","axonogenesis","86/2081","498/28564",5.53409305331685e-14,8.23915773777812e-11,6.13876553640557e-11,"Lhx4/Enah/Plxna2/Stxbp5/Nr2e1/Unc5b/Kifbp/Adarb1/Adcy1/B3gnt2/Bcl11a/Slit3/Fstl4/Pmp22/Pafah1b1/Ngfr/Mapt/Prkca/Sipa1l1/Ntrk2/Map1b/Emb/Atp8a2/Kif13b/Trio/Matn2/Ptk2/Wnt7b/Kalrn/Sema5b/Gsk3b/Alcam/Robo1/Notch3/Ptprs/Ptprm/Rnf165/Mbp/Slit1/Gata3/Grin1/Olfm1/Ntng2/Abl1/Zeb2/Chn1/Bmp7/Cdh4/Lama5/Ntrk1/Lmo4/Nr4a3/Megf9/Edn2/Runx3/Ephb2/Epha8/Ece1/Fgfr3/Crmp1/Apbb2/Ptpn11/Actb/Plxna4/Ctnna2/Wnt7a/Foxp1/Cntn4/Ret/Lrtm2/Apoe/Megf8/Brsk2/Cacna1a/Nfix/Mt3/Cdh1/Disc1/Nrp1/Aplp2/Thy1/Dscaml1/Nptn/Neo1/Snap91/Trak1",86,0.0413262854396925,10.0841171825421
"GO:1901888","regulation of cell junction assembly","54/2081","242/28564",9.19447329732884e-14,1.14072765375526e-10,8.49924207081152e-11,"Map4k4/Arhgef15/Asic2/Prkca/Itgb1bp1/Sipa1l1/Ntrk2/Pik3r1/Dlg5/Mmp14/Farp1/Ptk2/Adgrb1/Pkp2/Gsk3b/Mdga1/Ptprs/Nrxn1/Rock1/Nrg2/Nedd4l/Flrt1/Grin1/Ntng2/Abl1/Src/Rapgef2/Ntrk1/S100a10/Pdlim5/Adgrl2/Adgrb2/Col16a1/Ephb2/Wnt4/Epha2/Fzd1/Ptpn13/Coro1c/Tbx5/Ptpn11/Cux2/Grid2/Wnt7a/Setd5/Lrtm2/Lrfn3/Tjp1/Adgre5/Adgrl1/Nrp1/Vstm5/Thy1/Smad3",54,0.0259490629505046,9.94281803006863
"GO:0050807","regulation of synapse organization","62/2081","305/28564",1.25869065380474e-13,1.33852760384607e-10,9.97299406751457e-11,"Ngef/Dnm3/Marcks/Camk2b/Arhgef15/Pafah1b1/Asic2/Prkca/Baiap2/Sipa1l1/Nedd9/Ror2/Ntrk2/Pik3r1/Dlg5/Slc18a3/Nfatc4/Farp1/Ywhaz/Ptk2/Adgrb1/Shank3/Lrrk2/Etv5/Kalrn/Gsk3b/Mdga1/Ptprs/Nrxn1/Rock1/Nrg2/Flrt1/Grin1/Ntng2/Abl1/Dab2ip/Tanc1/Ntrk1/Pdlim5/Adgrl2/Adgrb2/Ephb2/Fzd1/Magi2/Ptpn13/Sparcl1/Cux2/Grid2/Ctnna2/Dctn1/Wnt7a/Setd5/Lrtm2/Apoe/Lrfn3/Arhgap33/Shank2/Adgre5/Adgrl1/Disc1/Vstm5/Snap91",62,0.0297933685728015,9.87337266812709
"GO:0007416","synapse assembly","50/2081","216/28564",1.69133982166895e-13,1.57379170406296e-10,1.17258809478601e-10,"Dnm3/Arhgef15/Asic2/Mapt/Prkca/Sdk2/Sipa1l1/Ntrk2/Pik3r1/Dlg5/Nrg3/Farp1/Ptk2/Adgrb1/Shank3/Gsk3b/Mdga1/Ptprs/Nrxn1/Nrg2/Sptbn2/Nrxn2/Flrt1/Grin1/Ntng2/Ntrk1/Pdlim5/Adgrl2/Adgrb2/Ephb2/Fzd1/Magi2/Lgi2/Ptpn13/Cux2/Grid2/Wnt7a/Setd5/Lrtm2/Lrfn3/Gabrb3/Shank2/Adgre5/Adgrl1/Cacna1a/Cdh1/Vstm5/Kirrel3/Nptn/Bsn",50,0.0240269101393561,9.80305274831891
"GO:0043547","positive regulation of GTPase activity","54/2081","259/28564",1.65422829450393e-12,1.11946140220794e-09,8.340793190183e-10,"Map4k4/Dock10/Ngef/Agap1/Bcr/Rasgef1c/Arhgef15/Rap1gap2/Sgsm2/Abr/Ccl11/Sipa1l1/Gpr65/Rapgef5/Nedd9/Rasa1/F2rl1/Ccdc125/Tbc1d4/Tbc1d22a/Kalrn/Gsk3b/Tbc1d5/Adrb1/Garnl3/Dennd1a/Chn1/Gnas/Rapgef2/Ntrk1/S100a10/Bcar3/Asap3/Wnt4/Epha2/Arhgef16/Tbc1d1/Rasgef1b/Arhgap24/Sgsm1/Coro1c/Iqsec1/Rasgef1a/Sipa1l3/Wnt11/Arhgef7/Arhgef10/Tbc1d9/Gnao1/Mtss2/Sipa1l2/Dock6/Rgl3/Thy1",54,0.0259490629505046,8.95099087582062
"GO:0030111","regulation of Wnt signaling pathway","59/2081","321/28564",3.85746492369551e-11,2.20884376092226e-08,1.6457475856641e-08,"Amer3/Fzd7/Kremen1/Nlk/Itga3/Axin2/Csnk1d/Sostdc1/Ccdc88c/Gsc/Sox4/Barx1/Wnk2/Spin1/Ror2/Nfatc4/Shisa2/Ccar2/Ctnnd2/Lrrk2/Gsk3b/Prkn/Daam2/Ppm1b/Ccny/Egr1/Alpk2/Kank1/Abl1/Dab2ip/Zeb2/Rspo4/Src/Foxo1/Dkk2/Tle1/Plpp3/Trabd2b/Rnf220/Rspo1/Ptpru/Ctnnbip1/Fzd1/Fgfr3/Klf15/Wnt5b/Apoe/Lrrk1/Wnt11/Folr1/Dkk3/Nkd1/Cdh1/Foxl1/Disc1/Tle3/Smad3/Rbms3/Ddx3x",59,0.0283517539644402,7.65583500217702
