output_prefix,name,motif_id,cluster,total_tfbs,SEA_mean_score,SEA_bound,NOSEA_mean_score,NOSEA_bound,SEA_NOSEA_change,SEA_NOSEA_pvalue,SEA_NOSEA_highlighted,neglog10p,category,label
Arnt_MA0004.1,Arnt,MA0004.1,C_Mlxip,8289,0.07507,372,0.04581,238,0.10053,5.5403000000000006e-67,FALSE,66.25646671815659,Positive (Top 10%),NA
PAX6_MA0069.1,PAX6,MA0069.1,C_PAX6,4694,0.06558,189,0.05255,143,-0.05883,1.43598e-33,FALSE,32.8428516088055,Other,NA
RORA_MA0071.1,RORA,MA0071.1,C_RORA,9922,0.11554,489,0.09186,404,-0.03344,8.66112e-30,FALSE,29.06242594419874,Other,NA
RXRAVDR_MA0074.1,RXRA::VDR,MA0074.1,C_RXRA::VDR,5859,0.12784,355,0.09392,280,0.03546,4.57937e-28,FALSE,27.3391942653025,Other,NA
REL_MA0101.1,REL,MA0101.1,C_REL,7899,0.15086,708,0.10641,489,0.05835,2.6263000000000002e-56,FALSE,55.58065566632616,Other,NA
RELA_MA0107.1,RELA,MA0107.1,C_REL,9766,0.11808,699,0.08211,480,0.07139,1.01848e-58,FALSE,57.99204749486698,Other,NA
NR1H2RXRA_MA0115.1,NR1H2::RXRA,MA0115.1,C_NR1H2::RXRA,10071,0.33327,1288,0.25517,1081,-0.03471,1.81676e-41,FALSE,40.74070244063911,Other,NA
Znf423_MA0116.1,Znf423,MA0116.1,C_Znf423,7457,0.93677,1898,0.72838,1642,-0.05331,5.52094e-55,FALSE,54.257986972622675,Other,NA
NFICTLX1_MA0119.1,NFIC::TLX1,MA0119.1,C_NFIB,8466,0.19486,746,0.14847,552,-0.01396,2.32743e-12,FALSE,11.633123372031214,Other,NA
ZNF354C_MA0130.1,ZNF354C,MA0130.1,C_ZNF354C,14563,0.12876,968,0.10123,719,-0.00619,0.00516332,FALSE,2.2870709584453954,Other,NA
Pou5f1Sox2_MA0142.1,Pou5f1::Sox2,MA0142.1,C_Pou5f1::Sox2,13805,0.01735,116,0.01195,88,0.02233,4.98484e-10,FALSE,9.302348776817173,Other,NA
EWSR1-FLI1_MA0149.1,EWSR1-FLI1,MA0149.1,C_EWSR1-FLI1,37967,0.26102,4960,0.19438,3853,0.0189,3.33672e-42,FALSE,41.47668023552588,Other,NA
Arid3a_MA0151.1,Arid3a,MA0151.1,C_Arid3a,16655,0.11676,953,0.10373,874,-0.13949,1.27273e-112,TRUE,111.89526371884995,Negative (Top 10%),Arid3a
INSM1_MA0155.1,INSM1,MA0155.1,C_INSM1,12786,0.4907,2008,0.38038,1648,-0.028,1.7530999999999998e-39,FALSE,38.7561933102556,Other,NA
RARARXRA_MA0159.1,RARA::RXRA,MA0159.1,C_RARA::RXRA,10172,0.12482,687,0.09298,549,0.01316,2.43407e-13,FALSE,12.61366693630456,Other,NA
PLAG1_MA0163.1,PLAG1,MA0163.1,C_PLAG1,15231,0.65973,3239,0.49979,2659,-0.03347,1.1789600000000001e-55,FALSE,54.92850092948843,Other,NA
Tfcp2l1_MA0145.2,Tfcp2l1,MA0145.2,C_Tfcp2l1,11858,0.87084,2547,0.68416,2135,-0.03026,1.24015e-42,FALSE,41.90652578239226,Other,NA
DUX4_MA0468.1,DUX4,MA0468.1,C_DUX4,7335,0.18586,626,0.14857,551,-0.03537,2.8603e-33,FALSE,32.543588413894824,Other,NA
Sox6_MA0515.1,Sox6,MA0515.1,C_Sox6,17088,0.14072,1258,0.10668,988,-0.02595,1.62623e-31,FALSE,30.78881803151755,Other,NA
ESR2_MA0258.2,ESR2,MA0258.2,C_ESR2,12328,0.07357,539,0.05386,393,0.04075,2.9830799999999997e-34,FALSE,33.525335099607204,Other,NA
SREBF1_MA0595.1,SREBF1,MA0595.1,C_SREBF1,7354,0.07523,308,0.04776,191,0.06831,2.18478e-46,FALSE,45.66059228848595,Other,NA
SREBF2_MA0596.1,SREBF2,MA0596.1,C_SREBF1,8048,0.06563,281,0.04443,204,0.02846,3.00388e-16,FALSE,15.522317420662135,Other,NA
KLF5_MA0599.1,KLF5,MA0599.1,C_KLF5,44608,0.43257,7090,0.33128,5680,-0.01071,4.20193e-28,FALSE,27.376551186786553,Other,NA
Atf1_MA0604.1,Atf1,MA0604.1,C_FOSL1::JUND,2094,0.06201,85,0.04437,66,-0.04537,1.76787e-14,FALSE,13.752549673914812,Other,NA
Creb3l2_MA0608.1,Creb3l2,MA0608.1,C_Creb3l2,4335,0.08292,211,0.04903,131,0.07864,3.10999e-48,FALSE,47.50724100742069,Other,NA
FOXG1_MA0613.1,FOXG1,MA0613.1,C_FOXD1,9446,0.12722,572,0.10661,490,-0.04697,9.059159999999999e-39,FALSE,38.04291206990348,Other,NA
Foxj2_MA0614.1,Foxj2,MA0614.1,C_FOXD1,8369,0.16251,625,0.13167,524,-0.03502,2.8763399999999995e-29,FALSE,28.54115977913882,Other,NA
BHLHE41_MA0636.1,BHLHE41,MA0636.1,C_BHLHE41,3360,0.07669,141,0.04435,96,0.10893,2.20159e-49,FALSE,48.657263556080245,Positive (Top 10%),NA
ELF4_MA0641.1,ELF4,MA0641.1,C_ELF2,13426,0.32494,1949,0.22389,1422,0.07258,2.34053e-77,FALSE,76.6306857878837,Other,NA
FOXI1_MA0042.2,FOXI1,MA0042.2,C_FOXD1,7327,0.17289,570,0.14517,474,-0.08037,1.11537e-60,FALSE,59.95258104086442,Other,NA
FOXL1_MA0033.2,FOXL1,MA0033.2,C_FOXD1,9768,0.14355,674,0.11672,574,-0.07202,8.75413e-66,FALSE,65.05778700834394,Other,NA
HNF1B_MA0153.2,HNF1B,MA0153.2,C_HNF1A,5490,0.02564,68,0.01851,62,-0.02981,2.77644e-12,FALSE,11.556511707370767,Other,NA
HSF1_MA0486.2,HSF1,MA0486.2,C_HSF2,7713,0.10615,491,0.07542,365,0.03492,1.6298699999999998e-32,FALSE,31.787847033960563,Other,NA
IRF9_MA0653.1,IRF9,MA0653.1,C_STAT1::STAT2,11651,0.03911,267,0.02524,182,0.10489,6.06494e-65,FALSE,64.21717349121914,Positive (Top 10%),NA
JDP2_MA0655.1,JDP2,MA0655.1,C_FOSL1,11608,0.03361,233,0.02524,196,-0.03231,6.59987e-20,FALSE,19.180464618827628,Other,NA
MEF2B_MA0660.1,MEF2B,MA0660.1,C_MEF2D,9640,0.05364,296,0.04315,226,-0.01813,5.30609e-12,FALSE,11.27522538794361,Other,NA
MLX_MA0663.1,MLX,MA0663.1,C_BHLHE41,3702,0.0693,154,0.03216,77,0.15134,4.20056e-62,TRUE,61.37669280753123,Positive (Top 10%),MLX
MSC_MA0665.1,MSC,MA0665.1,C_Tcf21,10481,0.04087,240,0.0268,172,0.04199,7.04066e-25,FALSE,24.15238662765861,Other,NA
MYF6_MA0667.1,MYF6,MA0667.1,C_MYF6,7244,0.04478,186,0.02957,141,0.02606,2.1187899999999998e-20,FALSE,19.673912085460373,Other,NA
NEUROG2_MA0669.1,NEUROG2,MA0669.1,C_NEUROG2,5141,0.22117,496,0.1771,404,-0.04074,5.649489999999999e-37,FALSE,36.247990755752745,Other,NA
Nr2e1_MA0676.1,Nr2e1,MA0676.1,C_Nr2e1,11549,0.00905,56,0.00665,46,-0.00859,0.0200938,FALSE,1.6969379247264669,Other,NA
OLIG2_MA0678.1,OLIG2,MA0678.1,C_ATOH7,2944,0.33357,343,0.26835,289,-0.06309,4.1680899999999996e-42,FALSE,41.38006291204985,Other,NA
PAX4_MA0068.2,PAX4,MA0068.2,C_VAX2,2673,0.05174,80,0.03916,64,-0.0386,7.72063e-11,FALSE,10.112347259980293,Other,NA
Rxra_MA0512.2,Rxra,MA0512.2,C_Nr2f6,10779,0.35067,1442,0.28785,1264,-0.09992,9.38549e-87,FALSE,86.02754304869623,Negative (Top 10%),NA
SRF_MA0083.3,SRF,MA0083.3,C_SRF,3750,0.22121,323,0.18842,287,-0.03719,3.75216e-24,FALSE,23.425718650667296,Other,NA
TBXT_MA0009.2,TBXT,MA0009.2,C_TBX19,4035,0.11792,221,0.09435,182,-0.04944,3.93976e-33,FALSE,32.40453023346639,Other,NA
TBX20_MA0689.1,TBX20,MA0689.1,C_TBX20,8341,0.08206,346,0.06851,287,-0.0627,1.81616e-42,FALSE,41.74084589366946,Other,NA
TFAP4_MA0691.1,TFAP4,MA0691.1,C_TFAP4,9119,0.04168,227,0.02699,158,0.07527,1.08338e-38,FALSE,37.96521918607373,Other,NA
ZIC1_MA0696.1,ZIC1,MA0696.1,C_ZIC1,9359,0.25731,1123,0.2113,885,-0.02297,2.2926200000000002e-30,FALSE,29.639667923281106,Other,NA
PHOX2A_MA0713.1,PHOX2A,MA0713.1,C_PHOX2A,5914,0.07804,219,0.06116,190,-0.04036,2.11687e-23,FALSE,22.674305811804018,Other,NA
PROP1_MA0715.1,PROP1,MA0715.1,C_PHOX2A,6926,0.066,222,0.05649,212,-0.05856,3.0875299999999995e-39,FALSE,38.51038881388737,Other,NA
VENTX_MA0724.1,VENTX,MA0724.1,C_VENTX,3252,0.07134,113,0.04962,83,0.02604,2.10576e-7,FALSE,6.676591128219468,Other,NA
Nr2F6_MA0728.1,Nr2F6,MA0728.1,C_Rarb,10734,0.37742,1657,0.29888,1389,-0.06685,3.07932e-69,FALSE,68.51154517728293,Other,NA
RARA_MA0729.1,RARA,MA0729.1,C_RARA,9885,0.13386,673,0.10536,544,-0.027,6.728949999999999e-28,FALSE,27.172052698745187,Other,NA
RARA_MA0730.1,RARA,MA0730.1,C_Rarb,9664,0.1094,574,0.08773,484,-0.02872,1.66332e-26,FALSE,25.779024190428718,Other,NA
BCL6B_MA0731.1,BCL6B,MA0731.1,C_BCL6B,11296,0.25559,978,0.20595,840,-0.08794,1.5016700000000002e-76,FALSE,75.82342549537795,Negative (Top 10%),NA
EGR2_MA0472.2,EGR2,MA0472.2,C_EGR1,8292,0.18995,597,0.12397,430,0.01296,1.001e-8,FALSE,7.999565922520682,Other,NA
GLIS2_MA0736.1,GLIS2,MA0736.1,C_GLIS2,5700,0.2422,650,0.18089,494,-0.01014,1.42935e-4,FALSE,3.844861413996354,Other,NA
GLIS3_MA0737.1,GLIS3,MA0737.1,C_GLIS3,5082,0.25341,529,0.18981,420,-0.03503,4.86512e-22,FALSE,21.312906443228087,Other,NA
KLF16_MA0741.1,KLF16,MA0741.1,C_KLF16,33671,0.25467,4439,0.18413,3327,0.03738,5.00126e-69,FALSE,68.30092056724195,Other,NA
ZNF143_MA0088.2,ZNF143,MA0088.2,C_ZNF76,9521,0.31576,1068,0.21017,877,0.01433,3.75924e-17,FALSE,16.424899946872408,Other,NA
E2F7_MA0758.1,E2F7,MA0758.1,C_E2F7,4885,0.02987,79,0.02118,60,0.0325,6.35936e-9,FALSE,8.19658658913998,Other,NA
HSF2_MA0770.1,HSF2,MA0770.1,C_HSF2,8776,0.12063,600,0.08448,422,0.03751,1.63334e-36,FALSE,35.786923402064225,Other,NA
