"gene","sample","normalized_count","sex","condition","group"
"Dio2","M_U_1",283.259692653666,"M","U","Male_UF"
"Dio2","M_U_2",174.188802449933,"M","U","Male_UF"
"Dio2","M_U_3",111.369638883916,"M","U","Male_UF"
"Dio2","M_U_4",316.389294617935,"M","U","Male_UF"
"Dio2","M_I_1",618.732032981664,"M","I","Male_IF"
"Dio2","M_I_2",451.312551140297,"M","I","Male_IF"
"Dio2","M_I_3",835.472708532586,"M","I","Male_IF"
"Dio2","M_I_4",443.444456870714,"M","I","Male_IF"
"Dio2","M_I_5",404.929766334726,"M","I","Male_IF"
"Dio2","F_U_1",423.606878160042,"F","U","Fem_UF"
"Dio2","F_U_2",515.636166224223,"F","U","Fem_UF"
"Dio2","F_U_3",670.235958905703,"F","U","Fem_UF"
"Dio2","F_U_4",470.657969198939,"F","U","Fem_UF"
"Dio2","F_I_1",269.06184223923,"F","I","Fem_IF"
"Dio2","F_I_2",208.398484078985,"F","I","Fem_IF"
"Dio2","F_I_3",114.474254854235,"F","I","Fem_IF"
"Dio2","F_I_4",268.195577862836,"F","I","Fem_IF"
"Dio2","F_I_5",229.67151716085,"F","I","Fem_IF"
"Fabp4","M_U_1",986.334239240288,"M","U","Male_UF"
"Fabp4","M_U_2",946.323961847881,"M","U","Male_UF"
"Fabp4","M_U_3",656.112437772638,"M","U","Male_UF"
"Fabp4","M_U_4",1131.45840459394,"M","U","Male_UF"
"Fabp4","M_I_1",2073.70258152899,"M","I","Male_IF"
"Fabp4","M_I_2",2376.14912712039,"M","I","Male_IF"
"Fabp4","M_I_3",2018.16872943485,"M","I","Male_IF"
"Fabp4","M_I_4",2041.71163616053,"M","I","Male_IF"
"Fabp4","M_I_5",2033.31043095352,"M","I","Male_IF"
"Fabp4","F_U_1",2239.35869085575,"F","U","Fem_UF"
"Fabp4","F_U_2",1484.90815804451,"F","U","Fem_UF"
"Fabp4","F_U_3",2197.84507920368,"F","U","Fem_UF"
"Fabp4","F_U_4",1691.64023712082,"F","U","Fem_UF"
"Fabp4","F_I_1",1448.44958405452,"F","I","Fem_IF"
