"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",4.30401516145052e-20,2.10896742911076e-18,1.16017957183021,-0.558548196310576,-2.70837561422044,194,"Lig1;Smc1a;Mcm7;Hmgb2;Ncapd2;Espl1;Tk1;Mcm5;Mcm6;Bub1b;Lmnb1;Dnmt1;Dlgap5;Mcm2;Mcm3;Kif18b;Cdc20;Melk;Nop56;Pold1;Mybl2;Wdr90;Cdca8;Plk1;Spag5;Pole;Ssrp1;Pnn;Psmc3ip;Smc3;Ung;Kif22;Pola2;Cenpm;Brca1;Timeless;Birc5;Brca2;Cdkn2c;Mki67;Rfc3;Asf1b;Dctpp1;Tacc3;Cdkn3;Top2a;Dut;Nolc1;Ilf3;Cdc25b;Aurkb;Suv39h1;Racgap1;Hmmr;Shmt1;Hnrnpd;Cenpe;Ranbp1;Paics;Rpa2;Rpa1;Nudt21;Trp53;Prim2;Tipin;Ak2;Rad50;Msh2;Rfc2;E2f8;Luc7l3;Gins1;Rad51ap1;Tcf19;Kif2c;Ccnb2;Cdk1;Prkdc;Kif4;Phf5a;Spc24;Bard1;Rfc1;Dscc1;Nasp;Trip13;Kpna2;Tbrg4;Snrpb;Pan2;Orc6;Cdca3;Mxd3;Cit;Hmgb3;Chek2;Lyar;Ube2t;Rad51c;Cdk4;Dek;Pa2g4;Pold2;Pttg1;Mcm4;Stmn1;Rbbp7"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.72200297016024e-14,4.21890727689258e-13,0.97599468306432,-0.626364015974748,-2.67416938614585,89,"Ifitm1;Ifitm2;Il4ra;Cxcl10;Slc25a28;Uba7;Cd47;Isg20;Sp110;Tap1;Cmtr1;Parp14;Ly6e;Ifitm3;Dhx58;Cnp;Ogfr;Psmb9;Bst2;Ifit3;Trim12c;Adar;Psmb8;Stat2;Epsti1;Isg15;Irf7;Psme1;Nmi;Lgals3bp;Mx2;Irf9;Eif2ak2;Trim25;Trafd1;Helz2;Oas1a;Ube2l6;Cd74;Parp12;Trim14;Parp9;Casp8;Oas1g;Cmpk2;Ifi35;Mvb12a;Trim21;Rsad2;B2m;Ifit2;Rtp4;Csf1"
"HALLMARK_G2M_CHECKPOINT",2.67557915964755e-12,3.27758447056825e-11,0.898671232061694,-0.483208410604664,-2.33238997664216,183,"Hmgn2;Smc1a;Bcl3;Ewsr1;Espl1;Odc1;Mcm5;Mcm6;Lmnb1;Uck2;Mcm2;Mcm3;Cdc20;Ccnt1;Mybl2;Notch2;Numa1;Kif23;Smad3;Plk1;Pole;Nusap1;Exo1;Incenp;Kif22;Pola2;Chaf1a;Cenpf;Birc5;Brca2;Cdkn2c;Mki67;Pml;Tacc3;Cdkn3;Top2a;Mapk14;Nolc1;Ilf3;Cdc25b;Ccnf;Aurkb;Arid4a;Hnrnpu;E2f2;Hira;Suv39h1;Racgap1;Hmmr;Hnrnpd;Foxn3;Egf;Cenpe;Gins2;Rpa2;Cenpa;Troap;Prim2;Abl1;Slc7a5;Kif2c;Mnat1;Ythdc1;Ccnb2;Cdk1;Kif4;Cbx1;Prmt5;Nup98;Bard1;Nasp;Rad54l;Katna1;Lig3;Kpna2;Ube2c;Orc6;Prc1;Smc2;Ccna2;Hmgb3;Tpx2;Kif15;Cdk4;Pttg1;Snrpd1;Stmn1;Cdc45;Nek2;Hspa8;Dtymk"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",2.24002212322537e-12,3.27758447056825e-11,0.898671232061694,-0.487677534990567,-2.34199214447415,180,"Ifitm2;Il4ra;Cxcl10;Nfkbia;Cd86;Slc25a28;Stat3;Icam1;Ncoa3;Ptpn6;Isg20;Sp110;Zbp1;Mvp;Ifnar2;Samhd1;Tap1;Tnfsf10;Cmtr1;Ifit1bl1;Parp14;Ly6e;Ifitm3;Dhx58;Ogfr;Myd88;Psmb9;Il10ra;Bst2;Ifit3;Adar;Psmb8;Stat2;Epsti1;Itgb7;Stat4;H2-M3;Isg15;Xaf1;Irf7;Psme1;Fcgr1;Nmi;Lgals3bp;Mx2;Irf9;Eif2ak2;Oas3;Irf5;Trim25;Trafd1;Cmklr1;Pml;Helz2;Ube2l6;Il18bp;Nlrc5;Cd74;Parp12;Oas2;Trim14;Casp8;Stat1;Cmpk2;Ifi35;Tapbp;Trim21;Rsad2;Znfx1;Ccl5;B2m;H2-D1;Pde4b;Lcp2;Nfkb1;Fgl2;H2-Aa;Ifit2;Rbck1;Rtp4;Fpr1;H2-Eb1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",5.45869650433224e-10,5.34952257424559e-09,0.801215574617779,0.519802204920139,2.25426182629462,136,"Vcam1;Sdc1;Gpc1;Rhob;Slc6a8;Spp1;Itgb3;Serpinh1;Tnfaip3;Cadm1;Id2;Thy1;Anpep;Col5a1;Efemp2;Prrx1;Gpx7;Eno2;Igfbp3;Loxl2;Vim;Serpine2;Loxl1;Mgp;Col3a1;Fstl1;Col6a2;Cdh11;Col16a1;Colgalt1;Acta2;Htra1;Col6a3;Tnc;Fuca1;Col5a2;Col12a1;Slit2;Sgcb;Sparc;Bgn;Dpysl3;Gadd45a;P3h1;Col1a2;Calu;Cxcl12;Plod2;Fermt2;Pdgfrb;Sfrp4;Capg;Bmp1;Cald1;Basp1;Dcn;Itgb1;Mest;Plaur;Fbln5;Pmp22;Vegfa;Edil3;Tpm2;Matn2;Col5a3"
"HALLMARK_HYPOXIA",1.45890649452117e-07,1.19144030385895e-06,0.690132458796796,0.458308829940979,2.0289903359546,151,"Gpc1;Cdkn1c;Rragd;Hmox1;Atf3;Pfkfb3;F3;Bhlhe40;Bnip3l;Tnfaip3;Col5a1;Eno2;Slc2a1;Bcl2;Igfbp3;Sdc2;Ak4;Rora;Pfkp;P4ha1;Chst3;Stc1;Ugp2;Ext1;Ndst1;Kif5a;Ets1;Hs3st1;Mxi1;Bgn;Pgk1;Grhpr;Tiparp;Ldha;Anxa2;Gbe1;P4ha2;Tes;Hk2;Aldoa;Ccng2;Dcn;Wsb1;Nedd4l;B4galnt2;Plaur;Ilvbl;Ampd3;Pgm2;Pdk1;Vegfa;Stbd1"
"HALLMARK_COAGULATION",1.57465789358266e-06,1.10226052550786e-05,0.643551836150722,0.521913890286189,2.10119819066198,85,"F10;Plau;Anxa1;Ctsk;Cd9;Itgb3;Ctsl;F3;P2ry1;Serping1;Plek;Vwf;Mmp9;Mmp8;Sh2b2;Rapgef3;Arf4;Crip2;Htra1;Lta4h;Lamp2;Ctso;Sparc;Thbd;Hpn;Casp9;Gng12;Bmp1;F2rl2;Cpq;Ctsb"
"HALLMARK_MTORC1_SIGNALING",2.95184762255862e-06,1.80800666881715e-05,0.627256739718528,0.394157083611405,1.81135981786529,193,"Cd9;Prdx1;Itgb2;Bhlhe40;Tfrc;Ifi30;Serpinh1;Idh1;Cyp51;Hmgcs1;Slc2a1;Scd1;Sc5d;Ak4;Psat1;Hspd1;P4ha1;Gla;Gsr;Idi1;Stc1;Ldlr;Txnrd1;Atp2a2;Insig1;Lta4h;Ufm1;Cyb5b;Sqle;Igfbp5;Pik3r3;Pnp2;Pgk1;Dhcr7;Ldha;Rdh11;Gbe1;Rpn1;Atp6v1d;Plod2;Tes;Elovl5;Slc7a11;Hk2;Aldoa;Gmps;Gclc;Stard4;Qdpr;Etf1;Egln3;Cct6a;Ifrd1;Ube2d3;Canx;Pdk1;Ccng1;Nampt;Mthfd2;Phgdh;Polr3g;Add3;Hspa4;Uso1;Psph;Acly;Sord;Ssr1;Gsk3b;Pno1;Hspa9;Actr2;Tm7sf2;Tpi1;Uchl5"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",3.80850581189268e-06,2.07351983091935e-05,0.627256739718528,0.553667515537728,2.11015062105534,63,"Jag1;Cd9;Fabp5;Atf3;Alcam;Lgals3;Cyp51;Hmgcs1;Scd1;Sc5d;Lpl;Hsd17b7;Gusb;Atf5;Idi1;Ldlr;S100a11;Sqle;Trp53inp1;Chka;Plscr1;Dhcr7;Lss;Fasn;Stard4;Ctnnb1;Mvd;Plaur"
"HALLMARK_DNA_REPAIR",3.13099091349039e-05,0.000153418554761029,0.557332238758646,-0.383291774020294,-1.79309126029111,142,"Lig1;Gtf3c5;Hcls1;Snapc5;Pold1;Alyref;Polh;Ssrp1;Pola2;Cant1;Ddb2;Supt5;Nme4;Rfc3;Sf3a3;Dut;Impdh2;Polr3c;Mrpl40;Cmpk2;Tyms;Vps28;Nelfcd;Rpa2;Sac3d1;Nudt21;Trp53;Gtf2f1;Xpc;Polb;Pde4b;Rfc2;Nelfb;Supt4a;Taf6;Tarbp2;Nt5c;Snapc4;Ada;Fen1;Gmpr2;Taf10;Nme3;Mpg;Edf1;Ercc3;Vps37d;Rfc4;Ercc2;Taf12;Nfx1;Vps37b;Zfp707;Prim1;Aaas;Nudt9;Nt5c3;Polr1d;Rad52;Polr2f;Umps;Rfc5;Polr2e;Polr2j;Usp11"
