"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","neglog10_padj","absNES","direction"
"E2F TARGETS",4.30401516145052e-20,2.10896742911076e-18,1.16017957183021,-0.558548196310576,-2.70837561422044,194,"Lig1;Smc1a;Mcm7;Hmgb2;Ncapd2;Espl1;Tk1;Mcm5;Mcm6;Bub1b;Lmnb1;Dnmt1;Dlgap5;Mcm2;Mcm3;Kif18b;Cdc20;Melk;Nop56;Pold1;Mybl2;Wdr90;Cdca8;Plk1;Spag5;Pole;Ssrp1;Pnn;Psmc3ip;Smc3;Ung;Kif22;Pola2;Cenpm;Brca1;Timeless;Birc5;Brca2;Cdkn2c;Mki67;Rfc3;Asf1b;Dctpp1;Tacc3;Cdkn3;Top2a;Dut;Nolc1;Ilf3;Cdc25b;Aurkb;Suv39h1;Racgap1;Hmmr;Shmt1;Hnrnpd;Cenpe;Ranbp1;Paics;Rpa2;Rpa1;Nudt21;Trp53;Prim2;Tipin;Ak2;Rad50;Msh2;Rfc2;E2f8;Luc7l3;Gins1;Rad51ap1;Tcf19;Kif2c;Ccnb2;Cdk1;Prkdc;Kif4;Phf5a;Spc24;Bard1;Rfc1;Dscc1;Nasp;Trip13;Kpna2;Tbrg4;Snrpb;Pan2;Orc6;Cdca3;Mxd3;Cit;Hmgb3;Chek2;Lyar;Ube2t;Rad51c;Cdk4;Dek;Pa2g4;Pold2;Pttg1;Mcm4;Stmn1;Rbbp7",17.6759301274519,2.70837561422044,"Female-biased"
"INTERFERON ALPHA RESPONSE",1.72200297016024e-14,4.21890727689258e-13,0.97599468306432,-0.626364015974748,-2.67416938614585,89,"Ifitm1;Ifitm2;Il4ra;Cxcl10;Slc25a28;Uba7;Cd47;Isg20;Sp110;Tap1;Cmtr1;Parp14;Ly6e;Ifitm3;Dhx58;Cnp;Ogfr;Psmb9;Bst2;Ifit3;Trim12c;Adar;Psmb8;Stat2;Epsti1;Isg15;Irf7;Psme1;Nmi;Lgals3bp;Mx2;Irf9;Eif2ak2;Trim25;Trafd1;Helz2;Oas1a;Ube2l6;Cd74;Parp12;Trim14;Parp9;Casp8;Oas1g;Cmpk2;Ifi35;Mvb12a;Trim21;Rsad2;B2m;Ifit2;Rtp4;Csf1",12.3748000194336,2.67416938614585,"Female-biased"
"INTERFERON GAMMA RESPONSE",2.24002212322537e-12,3.27758447056825e-11,0.898671232061694,-0.487677534990567,-2.34199214447415,180,"Ifitm2;Il4ra;Cxcl10;Nfkbia;Cd86;Slc25a28;Stat3;Icam1;Ncoa3;Ptpn6;Isg20;Sp110;Zbp1;Mvp;Ifnar2;Samhd1;Tap1;Tnfsf10;Cmtr1;Ifit1bl1;Parp14;Ly6e;Ifitm3;Dhx58;Ogfr;Myd88;Psmb9;Il10ra;Bst2;Ifit3;Adar;Psmb8;Stat2;Epsti1;Itgb7;Stat4;H2-M3;Isg15;Xaf1;Irf7;Psme1;Fcgr1;Nmi;Lgals3bp;Mx2;Irf9;Eif2ak2;Oas3;Irf5;Trim25;Trafd1;Cmklr1;Pml;Helz2;Ube2l6;Il18bp;Nlrc5;Cd74;Parp12;Oas2;Trim14;Casp8;Stat1;Cmpk2;Ifi35;Tapbp;Trim21;Rsad2;Znfx1;Ccl5;B2m;H2-D1;Pde4b;Lcp2;Nfkb1;Fgl2;H2-Aa;Ifit2;Rbck1;Rtp4;Fpr1;H2-Eb1",10.4844461067686,2.34199214447415,"Female-biased"
"G2M CHECKPOINT",2.67557915964755e-12,3.27758447056825e-11,0.898671232061694,-0.483208410604664,-2.33238997664216,183,"Hmgn2;Smc1a;Bcl3;Ewsr1;Espl1;Odc1;Mcm5;Mcm6;Lmnb1;Uck2;Mcm2;Mcm3;Cdc20;Ccnt1;Mybl2;Notch2;Numa1;Kif23;Smad3;Plk1;Pole;Nusap1;Exo1;Incenp;Kif22;Pola2;Chaf1a;Cenpf;Birc5;Brca2;Cdkn2c;Mki67;Pml;Tacc3;Cdkn3;Top2a;Mapk14;Nolc1;Ilf3;Cdc25b;Ccnf;Aurkb;Arid4a;Hnrnpu;E2f2;Hira;Suv39h1;Racgap1;Hmmr;Hnrnpd;Foxn3;Egf;Cenpe;Gins2;Rpa2;Cenpa;Troap;Prim2;Abl1;Slc7a5;Kif2c;Mnat1;Ythdc1;Ccnb2;Cdk1;Kif4;Cbx1;Prmt5;Nup98;Bard1;Nasp;Rad54l;Katna1;Lig3;Kpna2;Ube2c;Orc6;Prc1;Smc2;Ccna2;Hmgb3;Tpx2;Kif15;Cdk4;Pttg1;Snrpd1;Stmn1;Cdc45;Nek2;Hspa8;Dtymk",10.4844461067686,2.33238997664216,"Female-biased"
"DNA REPAIR",3.13099091349039e-05,0.000153418554761029,0.557332238758646,-0.383291774020294,-1.79309126029111,142,"Lig1;Gtf3c5;Hcls1;Snapc5;Pold1;Alyref;Polh;Ssrp1;Pola2;Cant1;Ddb2;Supt5;Nme4;Rfc3;Sf3a3;Dut;Impdh2;Polr3c;Mrpl40;Cmpk2;Tyms;Vps28;Nelfcd;Rpa2;Sac3d1;Nudt21;Trp53;Gtf2f1;Xpc;Polb;Pde4b;Rfc2;Nelfb;Supt4a;Taf6;Tarbp2;Nt5c;Snapc4;Ada;Fen1;Gmpr2;Taf10;Nme3;Mpg;Edf1;Ercc3;Vps37d;Rfc4;Ercc2;Taf12;Nfx1;Vps37b;Zfp707;Prim1;Aaas;Nudt9;Nt5c3;Polr1d;Rad52;Polr2f;Umps;Rfc5;Polr2e;Polr2j;Usp11",3.8141221127272,1.79309126029111,"Female-biased"
"MITOTIC SPINDLE",9.14079191757103e-05,0.000373249003300817,0.538434096309916,-0.335439774390304,-1.62752735903779,191,"Smc1a;Espl1;Ophn1;Prex1;Bcl2l11;Lmnb1;Dlgap5;Rhot2;Arhgap4;Pcnt;Gsn;Rhof;Tubgcp2;Cep250;Notch2;Numa1;Kif23;Plk1;Cdc42ep2;Nusap1;Arhgap27;Smc3;Incenp;Kif22;Cenpf;Plekhg2;Birc5;Dst;Brca2;Ssh2;Ezr;Top2a;Cntrl;Map3k11;Racgap1;Tiam1;Arhgef2;Taok2;Cenpe;Sac3d1;Atg4b;Pxn;Abl1;Map1s;Kptn;Kif2c;Myh9;Ccnb2;Cdk1;Flnb;Kif4;Alms1;Stau1;Bin1;Rfc1;Cntrob;Klc1;Katna1;Csnk1d",3.42800134331234,1.62752735903779,"Female-biased"
"ALLOGRAFT REJECTION",0.00327001295325122,0.00667627644622125,0.431707695803346,-0.314507858493431,-1.48776141736613,161,"Il4ra;Il2rg;Cfp;Eif4g3;Il16;Tlr2;Bcl3;Cd86;Il1b;Icam1;Hcls1;Ptpn6;Cd47;Was;Ifnar2;Ccnd2;Tap1;Itgal;Icosl;Mrpl3;Ifngr1;Stat4;H2-M3;Ccr2;Irf7;Brca1;Traf2;Spi1;Rps9;Cd74;Lyn;Stat1;Tapbp;Csk;Map4k1;Rps19;Ccl5;H2-Oa;B2m;Lcp2;Il18rap;Fyb;H2-Aa;Elf4;Csf1;Il12rb1;Gpr65;Cd4",2.17546568868201,1.48776141736613,"Female-biased"
"MYC TARGETS V2",0.0274683404484152,0.0384556766277813,0.352487857583619,-0.362168960761864,-1.41827611010988,58,"Mcm5;Tcof1;Nop56;Pes1;Plk1;Ung;Dctpp1;Nolc1;Dusp2;Las1l;Exosc5;Pprc1;Mybbp1a;Tbrg4;Cdk4;Pa2g4;Bysl;Mcm4;Pus1;Grwd1;Ddx18;Imp4;Npm1",1.41503954282867,1.41827611010988,"Female-biased"
"APOPTOSIS",0.0154228638723646,0.0249710095683133,0.380730400722792,-0.30097967625466,-1.39249111678061,134,"H1f0;Bmf;Hmgb2;Madd;Cd14;Plcb2;Il1b;Birc3;Bcl2l11;Isg20;Rhot2;Ccnd2;Tap1;Tnfsf10;Ifitm3;Gsn;Sod1;Fdxr;App;Ifngr1;Gpx1;Ank;Rnasel;Pak1;Pmaip1;Rara;Brca1;Rela;Top2a;Cdc25b;Bid;Casp8;Crebbp",1.60256389893482,1.39249111678061,"Female-biased"
"INFLAMMATORY RESPONSE",0.0184141413523242,0.0273422098867844,0.352487857583619,-0.292263085389156,-1.37892693941176,158,"Gpr183;Ifitm1;Il4ra;Gpr132;Tlr2;Cxcl10;Nfkbia;Ptgir;Cd14;Ebi3;Il1b;Pik3r5;Icam1;Tnfsf10;Rhog;Ly6e;Csf3r;Cx3cl1;Icosl;Il10ra;Bst2;Adgre1;Ifnar1;Irf7;Atp2b1;Nmi;Eif2ak2;Rela;Cmklr1;Lyn;Mefv;Tapbp;Emp3;Nod2;Cd82;Sema4d;Lpar1;Ccl5;Pde4b;Lcp2;Il18rap;Nfkb1;Tnfsf15;Rtp4;Fpr1;Csf1",1.5631663872499,1.37892693941176,"Female-biased"
