peak_id	chromosome	start	end	strand
1	chr1	3250965	3251365	*
2	chr1	3672088	3672488	*
3	chr1	4256669	4257069	*
4	chr1	4414699	4415099	*
5	chr1	4492059	4492459	*
6	chr1	4571656	4572056	*
7	chr1	4766940	4767340	*
8	chr1	4775084	4775484	*
9	chr1	4785526	4785926	*
10	chr1	4807591	4807991	*
11	chr1	4857486	4857886	*
12	chr1	4867565	4867965	*
13	chr1	4870526	4870926	*
14	chr1	4873309	4873709	*
15	chr1	4906955	4907355	*
16	chr1	4918621	4919021	*
17	chr1	5019227	5019627	*
18	chr1	5082947	5083347	*
19	chr1	5098205	5098605	*
20	chr1	5106541	5106941	*
21	chr1	5165923	5166323	*
22	chr1	5261635	5262035	*
23	chr1	5442966	5443366	*
24	chr1	5508456	5508856	*
25	chr1	5954930	5955330	*
26	chr1	6204738	6205138	*
27	chr1	6214440	6214840	*
28	chr1	6272197	6272597	*
29	chr1	6280162	6280562	*
30	chr1	6382702	6383102	*
31	chr1	6388895	6389295	*
32	chr1	6406388	6406788	*
33	chr1	6410051	6410451	*
34	chr1	6413365	6413765	*
35	chr1	6441266	6441666	*
36	chr1	6445357	6445757	*
37	chr1	6454202	6454602	*
38	chr1	6455657	6456057	*
39	chr1	6464957	6465357	*
40	chr1	6466977	6467377	*
41	chr1	6473568	6473968	*
42	chr1	6476490	6476890	*
43	chr1	6481284	6481684	*
44	chr1	6482950	6483350	*
45	chr1	6492798	6493198	*
46	chr1	6496604	6497004	*
47	chr1	6498865	6499265	*
48	chr1	6556666	6557066	*
49	chr1	6607332	6607732	*
50	chr1	6624509	6624909	*
51	chr1	6783232	6783632	*
52	chr1	6858971	6859371	*
53	chr1	6969693	6970093	*
54	chr1	7053381	7053781	*
55	chr1	7077857	7078257	*
56	chr1	7088652	7089052	*
57	chr1	7100545	7100945	*
58	chr1	7112863	7113263	*
59	chr1	7138484	7138884	*
60	chr1	7206412	7206812	*
61	chr1	7375008	7375408	*
62	chr1	7386987	7387387	*
63	chr1	7388464	7388864	*
64	chr1	7395462	7395862	*
65	chr1	7397801	7398201	*
66	chr1	7823994	7824394	*
67	chr1	8387406	8387806	*
68	chr1	9529741	9530141	*
69	chr1	9536051	9536451	*
70	chr1	9545109	9545509	*
71	chr1	9547889	9548289	*
72	chr1	9553858	9554258	*
73	chr1	9573211	9573611	*
74	chr1	9593721	9594121	*
